city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2456917,Goundam,ML,16.4145,-3.6708,04/30/21,            84.27,42,86,18.21
2017155,Saskylakh,RU,71.9167,114.0833,04/30/21,            30.45,92,100,6.62
4946620,Palmer,US,42.1584,-72.3287,04/30/21,            56.79,41,75,28.77
3874787,Punta Arenas,CL,-53.15,-70.9167,04/30/21,            42.39,93,90,4.61
4020109,Atuona,PF,-9.8,-139.0333,04/30/21,            79.25,68,1,4.05
1242110,Kalmunai,LK,7.4167,81.8167,04/30/21,            78.6,84,69,6.96
464790,Zapolyarnyy,RU,69.4154,30.8136,04/30/21,            21.2,86,40,8.05
5367788,Lompoc,US,34.6391,-120.4579,04/30/21,            66.22,67,40,11.5
1796669,Sanmenxia,CN,34.7747,111.1814,04/30/21,            58.73,43,5,5.48
1507390,Dikson,RU,73.5069,80.5464,04/30/21,            7.03,96,88,9.69
964432,Port Alfred,ZA,-33.5906,26.891,04/30/21,            59.97,83,29,14.09
1510377,Belyy Yar,RU,53.6039,91.3903,04/30/21,            35.6,80,0,2.24
2508807,Adrar,DZ,25.75,-1,04/30/21,            71.58,59,100,4.99
5391692,San Benito,US,36.6166,-121.0844,04/30/21,            81.59,33,83,4
3576994,Cockburn Town,TC,21.4612,-71.1419,04/30/21,            80.6,65,20,9.22
3835869,Santiago del Estero,AR,-27.7951,-64.2615,04/30/21,            66.13,47,11,7.81
3421765,Nanortalik,GL,60.1432,-45.2371,04/30/21,            39.11,69,15,9.53
3418910,Upernavik,GL,72.7868,-56.1549,04/30/21,            28.98,80,100,5.1
2075265,Busselton,AU,-33.65,115.3333,04/30/21,            50.04,98,99,5.44
477579,Uyemskiy,RU,64.4743,40.8524,04/30/21,            30.2,93,40,2.24
545728,Komsomol'skiy,RU,43.9783,46.6985,04/30/21,            51.93,94,84,8.12
2077895,Alice Springs,AU,-23.7,133.8833,04/30/21,            51.8,58,50,4.61
3366880,Hermanus,ZA,-34.4187,19.2345,04/30/21,            54,77,0,6.6
6058024,Lloydminster,CA,53.2835,-110.0016,04/30/21,            71.6,24,75,20.71
3469294,Bonito,BR,-21.1211,-56.4819,04/30/21,            70.88,43,0,2.68
978895,Margate,ZA,-30.8636,30.3705,04/30/21,            62.94,75,99,13.69
5354943,Half Moon Bay,US,37.4636,-122.4286,04/30/21,            61.63,87,75,11.5
2077963,Albany,AU,-35.0169,117.8917,04/30/21,            50,93,75,6.91
6185377,Yellowknife,CA,62.456,-114.3525,04/30/21,            34.02,80,90,11.5
3665202,Aripuanã,BR,-9.1667,-60.6333,04/30/21,            73.11,95,95,0.94
1282256,Hithadhoo,MV,-0.6,73.0833,04/30/21,            83.82,72,89,6.58
2136825,Isangel,VU,-19.55,169.2667,04/30/21,            82.4,69,75,5.75
467120,Yershov,RU,51.3513,48.2766,04/30/21,            51.26,68,100,6.58
3355672,Lüderitz,NA,-26.6481,15.1594,04/30/21,            63.75,40,0,17.25
2028164,Deputatsky,RU,69.3,139.9,04/30/21,            22.93,93,95,3.29
2071860,Esperance,AU,-33.8667,121.9,04/30/21,            51.8,100,90,4.61
3144987,Beisfjord,NO,68.3751,17.5988,04/30/21,            26.6,93,75,2.3
3137469,Sørland,NO,67.667,12.6934,04/30/21,            35.73,58,100,12.73
6166142,Thunder Bay,CA,48.4001,-89.3168,04/30/21,            55.6,17,20,4.61
3547600,Mariel,CU,22.9875,-82.7536,04/30/21,            84.09,74,75,2.3
3347019,Mossamedes,AO,-15.1961,12.1522,04/30/21,            75.58,74,14,2.98
3893629,Coquimbo,CL,-29.9533,-71.3436,04/30/21,            59,88,0,10.36
